Product Name
Arugula
Asian Greens
Basil
Beets
Bokchoy
Broccoli
Broccoli Rabe
Brussel Sprouts
Cabbage
Cantaloupe
Cauliflower
Chard
Collard Greens
Cucumbers
Cucuzza
Edamame
Eggplants
Escarole
Fall / Winter Squash
Fennel
Garlic
Garlic Scapes
Hakurei Turnips
Honeydew
Kale
Kohlrabi
Leeks
Lettuce
Melons
Napa Cabbage
Onions
Parsley
Poblano Peppers
Potatoes
Radishes
Romanesco
Salad Turnips
Scallions
Shishito Peppers
Spinach
Spring Mix/Salad Mix Greens
String Beans
Sweet Peppers
Sweet Potatoes
Tomatoes - Beefsteak
Tomatoes - Cherry
Tomatoes - Plums/Roma
Zucchini / Summer Squash
